"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 17 11:31:29 IST 2023","Fri Feb 17 11:31:35 IST 2023","5877","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.FullName_Field_Test","com.bridgelabz.ejet.webinartestcases.FullName_Field_Test","without_space_user_enter_firstName_And_lastName_nameField","without_space_user_enter_firstName_And_lastName_nameField",""
"passed","Fri Feb 17 11:29:39 IST 2023","Fri Feb 17 11:29:44 IST 2023","4928","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.Email_Field_Test","com.bridgelabz.ejet.webinartestcases.Email_Field_Test","without_at_enter_email","without_at_enter_email",""
"passed","Fri Feb 17 11:32:02 IST 2023","Fri Feb 17 11:32:07 IST 2023","4631","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.FullName_Field_Test","com.bridgelabz.ejet.webinartestcases.FullName_Field_Test","user_enter_threeGroup_of_name","user_enter_threeGroup_of_name",""
"passed","Tue Feb 14 22:29:09 IST 2023","Tue Feb 14 22:29:15 IST 2023","6122","Default Suite","EJetTestScript","com.bridgelabz.ejet.webinartestcases.Phone_Number_Test","com.bridgelabz.ejet.webinartestcases.Phone_Number_Test","invalid_phn_No_Starting_With_Zero","invalid_phn_No_Starting_With_Zero",""
"passed","Fri Feb 17 11:30:03 IST 2023","Fri Feb 17 11:30:15 IST 2023","12129","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.Enter_Room_Test","com.bridgelabz.ejet.webinartestcases.Enter_Room_Test","click_EnterButton","click_EnterButton",""
"passed","Fri Feb 17 11:28:09 IST 2023","Fri Feb 17 11:28:17 IST 2023","7160","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.Education_Qualification_Test","com.bridgelabz.ejet.webinartestcases.Education_Qualification_Test","not_select_passOut_Year","not_select_passOut_Year",""
"passed","Tue Feb 14 22:10:33 IST 2023","Tue Feb 14 22:10:39 IST 2023","6265","Default Suite","EJetTestScript","com.bridgelabz.ejet.webinartestcases.Phone_Number_Test","com.bridgelabz.ejet.webinartestcases.Phone_Number_Test","new_User_Enter_plus_NinetyOne_And_Hyphen","new_User_Enter_plus_NinetyOne_And_Hyphen",""
"passed","Fri Feb 17 11:33:31 IST 2023","Fri Feb 17 11:33:45 IST 2023","14349","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.PassOut_Field_Test","com.bridgelabz.ejet.webinartestcases.PassOut_Field_Test","select_passOut_year_TwoThousandTwentyTwo","select_passOut_year_TwoThousandTwentyTwo",""
"passed","Tue Feb 14 22:09:38 IST 2023","Tue Feb 14 22:09:45 IST 2023","6500","Default Suite","EJetTestScript","com.bridgelabz.ejet.webinartestcases.Phone_Number_Test","com.bridgelabz.ejet.webinartestcases.Phone_Number_Test","new_User_Enter_EmptyString_PhField","new_User_Enter_EmptyString_PhField",""
"passed","Fri Feb 17 11:34:50 IST 2023","Fri Feb 17 11:35:04 IST 2023","13351","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.PassOut_Field_Test","com.bridgelabz.ejet.webinartestcases.PassOut_Field_Test","select_passOut_after_TwoThousandTwentyFour","select_passOut_after_TwoThousandTwentyFour",""
"passed","Fri Feb 17 11:28:36 IST 2023","Fri Feb 17 11:28:42 IST 2023","5522","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.Email_Field_Test","com.bridgelabz.ejet.webinartestcases.Email_Field_Test","enter_emptyString_emailField","enter_emptyString_emailField",""
"passed","Fri Feb 17 11:32:23 IST 2023","Fri Feb 17 11:32:28 IST 2023","5349","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.FullName_Field_Test","com.bridgelabz.ejet.webinartestcases.FullName_Field_Test","user_remove_validName_from_Field","user_remove_validName_from_Field",""
"passed","Fri Feb 17 11:32:47 IST 2023","Fri Feb 17 11:33:02 IST 2023","14306","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.PassOut_Field_Test","com.bridgelabz.ejet.webinartestcases.PassOut_Field_Test","select_passOut_year_TwoThousandTwentyFour","select_passOut_year_TwoThousandTwentyFour",""
"passed","Fri Feb 17 11:34:11 IST 2023","Fri Feb 17 11:34:25 IST 2023","14372","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.PassOut_Field_Test","com.bridgelabz.ejet.webinartestcases.PassOut_Field_Test","select_passOut_year_TwoThousandTwenty","select_passOut_year_TwoThousandTwenty",""
"passed","Thu Feb 16 18:21:41 IST 2023","Thu Feb 16 18:22:00 IST 2023","18805","Default Suite","EJetTestScript","com.bridgelabz.ejet.webinartestcases.WebinarRegistration","com.bridgelabz.ejet.webinartestcases.WebinarRegistration","webinarUserRegistrationSuccess_AndRedirectOnAttendOrientationScreen","webinarUserRegistrationSuccess_AndRedirectOnAttendOrientationScreen",""
"broken","Tue Feb 14 22:37:20 IST 2023","Tue Feb 14 22:37:40 IST 2023","19395","Default Suite","EJetTestScript","com.bridgelabz.ejet.webinartestcases.Email_Field_Test","com.bridgelabz.ejet.webinartestcases.Email_Field_Test","removing_invalid_value_from_emailField","removing_invalid_value_from_emailField",""
"broken","Tue Feb 14 22:27:25 IST 2023","Tue Feb 14 22:27:25 IST 2023","3","Default Suite","EJetTestScript","com.bridgelabz.ejet.webinartestcases.Phone_Number_Test","com.bridgelabz.ejet.webinartestcases.Phone_Number_Test","initialization","initialization",""
"passed","Fri Feb 17 11:26:50 IST 2023","Fri Feb 17 11:26:58 IST 2023","8465","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.Education_Qualification_Test","com.bridgelabz.ejet.webinartestcases.Education_Qualification_Test","select_Engineering_Cs_Or_It","select_Engineering_Cs_Or_It",""
"passed","Fri Feb 17 11:33:50 IST 2023","Fri Feb 17 11:34:04 IST 2023","14440","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.PassOut_Field_Test","com.bridgelabz.ejet.webinartestcases.PassOut_Field_Test","select_passOut_TwoThousandTwentyOne","select_passOut_TwoThousandTwentyOne",""
"broken","Tue Feb 14 22:07:50 IST 2023","Tue Feb 14 22:07:50 IST 2023","1","Default Suite","EJetTestScript","com.bridgelabz.ejet.webinartestcases.Phone_Number_Test","com.bridgelabz.ejet.webinartestcases.Phone_Number_Test","setUp","setUp",""
"passed","Tue Feb 14 22:28:58 IST 2023","Tue Feb 14 22:29:04 IST 2023","5861","Default Suite","EJetTestScript","com.bridgelabz.ejet.webinartestcases.Phone_Number_Test","com.bridgelabz.ejet.webinartestcases.Phone_Number_Test","invalid_phn_No_Starting_With_Plus_Ninty_One_And_Hyphen","invalid_phn_No_Starting_With_Plus_Ninty_One_And_Hyphen",""
"passed","Tue Feb 14 22:10:19 IST 2023","Tue Feb 14 22:10:26 IST 2023","6283","Default Suite","EJetTestScript","com.bridgelabz.ejet.webinartestcases.Phone_Number_Test","com.bridgelabz.ejet.webinartestcases.Phone_Number_Test","new_User_Enter_plus_NinetyOne","new_User_Enter_plus_NinetyOne",""
"passed","Fri Feb 17 11:28:24 IST 2023","Fri Feb 17 11:28:29 IST 2023","5351","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.Email_Field_Test","com.bridgelabz.ejet.webinartestcases.Email_Field_Test","enter_valid_emailId","enter_valid_emailId",""
